Year,Quarter,Month,PODS,Sev2_Received,Sev2_Contributed,Sev2_Contributed_%,Sev3_Received,Sev3_Resolved_RCA,Sev3_Resolved_RCA_%
2026,Q1,FEBRUARY,ADMINCHAMP,1,0,0,15,6,40
2026,Q1,FEBRUARY,PRIMELOGIC,6,2,33,11,4,36
2026,Q1,FEBRUARY,GROWTH 10X,0,0,0,1,1,100
2026,Q1,FEBRUARY,LAUNCHPAD,1,0,0,17,7,41
2026,Q1,FEBRUARY,REPCONNECT,0,0,0,8,2,25
2026,Q1,MARCH,ADMINCHAMP,1,1,100,21,7,33
2026,Q1,MARCH,PRIMELOGIC,3,0,0,14,3,21
2026,Q1,MARCH,GROWTH 10X,0,0,0,5,4,80
2026,Q1,MARCH,LAUNCHPAD,2,0,0,15,9,60
2026,Q1,MARCH,REPCONNECT,2,1,50,15,6,40
2026,Q1,APRIL,ADMINCHAMP,1,0,0,18,7,39
2026,Q1,APRIL,PRIMELOGIC,2,0,0,11,3,27
2026,Q1,APRIL,GROWTH 10X,0,0,0,1,1,100
2026,Q1,APRIL,LAUNCHPAD,0,0,0,4,4,100
2026,Q1,APRIL,REPCONNECT,1,1,100,19,10,53






